Title	URL	Assignees	Status	startof project	end of #1
Project Proposal and printing tutorial	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/1			Sep 11, 2023	Sep 18, 2023
Bill of materials document	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/2			Sep 18, 2023	Sep 25, 2023
Project Roadmap Creation	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/3			Sep 25, 2023	Oct 2, 2023
Proof of purchase, KiCad	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/4			Oct 2, 2023	Oct 9, 2023
Thanksgiving college closed	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/5			Oct 9, 2023	Oct 9, 2023
Soldering, Laser Cutting	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/6			Oct 16, 2023	Oct 23, 2023
Reading week break	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/7			Oct 23, 2023	Oct 23, 2023
Parts arrival	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/8			Oct 30, 2023	Oct 30, 2023
PCB Assembly and testing	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/9			Oct 30, 2023	Nov 13, 2023
Start coding final project	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/10			Nov 13, 2023	Nov 20, 2023
Troubleshooting	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/11			Nov 20, 2023	Nov 27, 2023
Demonstration	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/12			Nov 27, 2023	Nov 27, 2023
Final Bug fixes	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/13			Nov 27, 2023	Dec 4, 2023
Final Presentation	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/14			Dec 4, 2023	Dec 4, 2023
Build instructions (Hardware report)	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/15			Dec 4, 2023	Dec 11, 2023
CENG 355 start date	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/17			Jan 9, 2024	Jan 9, 2024
Course Introduction	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/20			Jan 9, 2024	Jan 15, 2024
Hardware status by student A, declaration of authorship	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/21			Jan 15, 2024	Jan 22, 2024
Mobile status report by student B, laser cutting	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/22			Jan 22, 2024	Jan 29, 2024
Database status report by student C, 3D printing	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/23			Jan 29, 2024	Feb 5, 2024
Hardware connectivity status report by student D, firmware	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/24			Feb 5, 2024	Feb 12, 2024
Hardware/Firmware, Database, and Mobile App Independent Demonstration, all parts should work independently	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/25			Feb 12, 2024	Feb 19, 2024
family day then reading week	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/26			Feb 19, 2024	Mar 4, 2024
Poster Draft, unit and production testing	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/27			Mar 4, 2024	Mar 11, 2024
Enclosure and integration status	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/28			Mar 11, 2024	Mar 18, 2024
Report Checklist	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/29			Mar 18, 2024	Mar 25, 2024
Presentation due, preliminary demonstrations	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/30			Mar 25, 2024	Apr 1, 2024
Troubleshooting, Project Demonstration	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/31			Apr 1, 2024	Apr 8, 2024
Group Final Presentation/Poster	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/32			Apr 8, 2024	Apr 15, 2024
Capstone Showcase	https://github.com/DylanAshton2206/CENG317HardwareRoadmap/issues/33			Apr 15, 2024	Apr 15, 2024
